ID,NAME,Stream URL,Logo URL,Quality
cbbc,CBBC,https://wowza1.leisertv.com/live/cbbchd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cbbc.png?raw=true,HD
cnn,CNN,https://wowza2.leisertv.com/live/cnn.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cnn.png?raw=true,
cnbceurope,CNBC Europe,https://wowza5.leisertv.com/live/cnbceuropehd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cnbceurope.png?raw=true,HD
euronews,Euronews,https://wowza5.leisertv.com/live/euronewshd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/euronews.png?raw=true,HD
bloombergtv,Bloomberg TV,https://wowza2.leisertv.com/live/bloombergtv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/bloombergtv.png?raw=true,
bbc,BBC World News,https://wowza1.leisertv.com/live/bbc.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/bbc.png?raw=true,
kidszone,Kids Zone,https://wowza2.leisertv.com/live/kidszone.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kidszone.png?raw=true,
kidzonemini,Kids Zone Mini,https://wowza1.leisertv.com/live/kidzoneminihd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kidzonemini.png?raw=true,HD
nickelodeon,Nickelodeon,https://wowza2.leisertv.com/live/nickelodeon.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/nickelodeon.png?raw=true,
cartoon,Cartoon Network,https://wowza2.leisertv.com/live/cartoon.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cartoon.png?raw=true,
cbeebies,CBeebies,https://wowza5.leisertv.com/live/cbeebieshd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cbeebies.png?raw=true,HD
disneychannel,Disney Channel,https://wowza1.leisertv.com/live/disneychannel.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/disneychannel.png?raw=true,
disneyjunior,Disney Junior,https://wowza1.leisertv.com/live/disneyjunior.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/disneyjunior.png?raw=true,
skykidsf,Sky Kids,https://wowza5.leisertv.com/live/skykidsfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skykidsf.png?raw=true,HD
nickjrf,Nick Jr.,https://wowza5.leisertv.com/live/nickjrfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/nickjrf.png?raw=true,HD
boomerangf,Boomerang,https://wowza1.leisertv.com/live/boomerangfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/boomerangf.png?raw=true,HD
filmzone,Film Zone,https://wowza2.leisertv.com/live/filmzone.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/filmzone.png?raw=true,
filmzoneplus,Film Zone Plus,https://wowza2.leisertv.com/live/filmzoneplus.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/filmzoneplus.png?raw=true,
tv1000,TV1000,https://wowza2.leisertv.com/live/tv1000.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tv1000.png?raw=true,
tv1000action,TV1000 Action,https://wowza2.leisertv.com/live/tv1000action.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tv1000action.png?raw=true,
tv1000premium,TV1000 Premium,https://wowza5.leisertv.com/live/tv1000premiumhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tv1000premium.png?raw=true,HD
tv1000russiakino,TV1000 Russian Kino,https://wowza1.leisertv.com/live/tv1000russiakino.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tv1000russiakino.png?raw=true,
amc,AMC,https://wowza2.leisertv.com/live/amc.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/amc.png?raw=true,
syfy,Syfy,https://wowza1.leisertv.com/live/syfyhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/syfy.png?raw=true,HD
skyhistoryf,Sky History,https://wowza1.leisertv.com/live/skyhistoryfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skyhistoryf.png?raw=true,HD
skyhistoryh2f,Sky History 2,https://wowza1.leisertv.com/live/skyhistoryh2fhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skyhistoryh2f.png?raw=true,HD
skydocumentariesf,Sky Documentaries,https://wowza1.leisertv.com/live/skydocumentariesfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skydocumentariesf.png?raw=true,HD
skycinemagreatsf,Sky Cinema Greats,https://wowza5.leisertv.com/live/skycinemagreatsfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skycinemagreatsf.png?raw=true,HD
skycinemaanimation,Sky Cinema Animation,https://wowza5.leisertv.com/live/skycinemaanimationhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skycinemaanimation.png?raw=true,HD
skymoviessuperhero,Sky Movies Superhero,https://wowza1.leisertv.com/live/skymoviessuperherohd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skymoviessuperhero.png?raw=true,HD
skymoviesdrama,Sky Movies Drama,https://wowza5.leisertv.com/live/skymoviesdramahd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skymoviesdrama.png?raw=true,HD
epicdrama,Epic Drama,https://wowza1.leisertv.com/live/epicdramahd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/epicdrama.png?raw=true,HD
skymovieshits,Sky Movies Hits,https://wowza5.leisertv.com/live/skymovieshitshd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skymovieshits.png?raw=true,HD
skymoviespremiere,Sky Movies Premiere,https://wowza5.leisertv.com/live/skymoviespremierehd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skymoviespremiere.png?raw=true,HD
skymoviesscifi,Sky Movies Sci-Fi,https://wowza5.leisertv.com/live/skymoviesscifihd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skymoviesscifi.png?raw=true,HD
skymoviesthriller,Sky Movies Thriller,https://wowza5.leisertv.com/live/skymoviesthrillerhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skymoviesthriller.png?raw=true,HD
skymoviesactiond,Sky Movies Action,https://wowza5.leisertv.com/live/skymoviesactiondhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skymoviesactiond.png?raw=true,HD
paramountnetwork,Paramount Network,https://wowza5.leisertv.com/live/paramountnetworkhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/paramountnetwork.png?raw=true,HD
viasatsportbaltic,Viasat Sport Baltic,https://wowza1.leisertv.com/live/viasatsportbaltic.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/viasatsportbaltic.png?raw=true,
tvplaysportsplus,TV Play Sports Plus,https://wowza1.leisertv.com/live/tvplaysportsplushd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tvplaysportsplus.png?raw=true,HD
eurosport1,Eurosport 1,https://wowza1.leisertv.com/live/eurosport1hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/eurosport1.png?raw=true,HD
eurosport2,Eurosport 2,https://wowza2.leisertv.com/live/eurosport2.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/eurosport2.png?raw=true,
fightsports,Fight Sports,https://wowza1.leisertv.com/live/fightsports.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/fightsports.png?raw=true,
skysportsmix,Sky Sports Mix,https://wowza5.leisertv.com/live/skysportsmixhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skysportsmix.png?raw=true,HD
